subject,roi,hemi,n_voxels,r_w1_com_ind_face_first,r_w2_ind_face_noncom,r_b1_com_ind_face_noncom,r_b2_face_first_ind,decoding_index
11,SI-STS,r,191,0.9170403721536894,0.9115132964453344,0.9577275619689856,0.8208582843703377,0.0249839111298501
11,TPJ,r,309,0.9258854648831056,0.8659686893729419,0.89062202075326,0.8812597641156337,0.0099861846935769
11,fSTS,r,80,0.9691350251280696,0.984124359247918,0.9776659525456451,0.9536503930380876,0.0109715193961274
11,FFA,r,107,0.8592971406669119,0.6551630900670902,0.78782042772195,0.7208945541256007,0.0028726244432256
11,EBA,r,111,0.6637750792074155,0.8654955858771076,0.895240444731629,0.6365489803987805,-0.0012593800229431
11,EVC,r,263,0.8943765573728581,0.8537562161237553,0.8687744468241183,0.8805350895844766,-0.0005883814559907
11,MT,r,165,0.7128212340489413,0.7527112976146362,0.7440084154789857,0.736618968464916,-0.0075474261401621
13,SI-STS,l,169,0.6338936367043733,0.1912938864094777,0.2563706292612335,0.4376975039770264,0.0655596949377955
13,TPJ,l,313,0.3349369308509103,0.2505053421835767,0.372137271329747,0.1774777500163425,0.0179136258441987
13,fSTS,l,23,0.6113783154245025,0.3679896218128501,0.4096659045422407,0.5573319887323396,0.0061850219813862
13,FFA,l,106,0.8107891212320582,0.6753080380884395,0.708413788336289,0.8111129822846737,-0.0167148056502324
13,EBA,l,103,0.8255312245329726,0.7771248078918259,0.904628119117156,0.6120953708783626,0.0429662712146399
13,EVC,l,249,0.8151620457593244,0.8825523103136055,0.8360184899664642,0.8325382194508906,0.0145788233277874
13,MT,l,165,0.8523844559391582,0.8864640811704028,0.9211246806280374,0.8678594272183493,-0.0250677853684128
13,SI-STS,r,165,0.3064716080228875,0.4377608009543046,0.4839918308264935,-0.0397383830893169,0.1499894806200077
13,TPJ,r,308,0.7323118870348657,0.6957092988957971,0.7746452872471028,0.3832780931531762,0.1350489027651919
13,fSTS,r,91,0.8256776330889027,0.644005516236943,0.7697819990090837,0.4961014677855597,0.1018998412656011
13,FFA,r,107,0.9099335067048993,0.9057340719207874,0.914649222046815,0.9373644322032244,-0.0181730378121763
13,EBA,r,125,0.8376791806113197,0.4590795144979278,0.7110402529866212,0.6648808975385458,-0.0395812277079597
13,EVC,r,263,0.9374834557059294,0.896130389206133,0.9225361714778147,0.917768855446072,-0.0033455910059121
13,MT,r,165,0.7624407301004709,0.7384386651249513,0.81912914001584,0.6901075891794053,-0.0041786669849116
16,SI-STS,l,112,0.3853074815589398,0.2351488919007004,0.4609198662766462,0.1470380740048397,0.0062492165890771
16,TPJ,l,299,0.3633414587958486,0.1807373169377664,0.1380028489359381,0.3020939114092737,0.0519910076942016
16,fSTS,l,23,0.0624654560529278,-0.2006114334273291,0.1271480352753015,-0.3981290368244309,0.0664175120873641
16,FFA,l,106,0.8093084874159217,0.897689952896156,0.8649000310832335,0.7716879285538228,0.0352052403375106
16,EBA,l,97,0.6318988787123425,0.1531134725629135,0.5512906163739801,0.2990769114532272,-0.0326775882759756
16,EVC,l,249,0.969487321843872,0.9503743983847668,0.9649619078467968,0.9404301273828104,0.0072348424995157
16,MT,l,166,0.833056248785738,0.9081719141799336,0.9019464174912084,0.8736571168466614,-0.017187685686099
16,SI-STS,r,151,0.5697050419928468,0.8901145928914306,0.851194326783228,0.7065974738060512,-0.0489860828525009
16,TPJ,r,297,0.7588433122569771,0.8098441807908396,0.8453766724629175,0.7443491448762543,-0.0105191621456774
16,fSTS,r,86,0.847294819173043,0.8851234364796838,0.9263755785479344,0.7855713573230573,0.0102356598908674
16,FFA,r,107,0.8505510792001323,0.8770277888086631,0.9134510972075204,0.8227259358934752,-0.0042990825461
16,EBA,r,138,0.6684884089077153,0.4880916562170656,0.6471677480973068,0.5798477488951402,-0.0352177159338329
16,EVC,r,263,0.9026648253375472,0.7903532302199344,0.802609117522636,0.8534457456078965,0.0184815962134745
16,MT,r,165,0.8208499796529234,0.8499152939386099,0.914516584916392,0.6946252330883309,0.0308117277934051
20,SI-STS,l,218,0.7981426697832732,0.4117259219664966,0.4991899536624397,0.3013500188076212,0.2046643096398544
20,fSTS,l,18,0.7391590640489913,0.5301780424905711,0.4058021426645504,0.6578560390280269,0.1028394624234925
20,FFA,l,106,0.7646612819679022,0.7871953081926624,0.756738634730046,0.7887016045107897,0.0032081754598644
20,EBA,l,107,0.8148346327057336,0.8191942897482858,0.8424190055218718,0.8183887592619964,-0.0133894211649243
20,EVC,l,249,0.9708776733188608,0.9616802623347528,0.95518535217826,0.9669665402947998,0.0052030215902769
20,MT,l,166,0.7471030894770269,0.7194156778272704,0.7400586567579222,0.7325976676617465,-0.0030687785576857
20,SI-STS,r,190,0.2389147528852761,0.210200895939173,-0.3289423800123403,0.1806788185791455,0.2986896051288219
20,fSTS,r,79,0.7386255425488097,0.6397576576663011,0.6858227125092154,0.5960090341094839,0.0482757267982057
20,FFA,r,107,0.7070309613357817,0.7469996950638766,0.743537269538513,0.5904157704702765,0.0600388081954344
20,EBA,r,142,0.6888613431011437,0.7397582886088352,0.8591591539280745,0.511006696055933,0.0292268908629856
20,EVC,r,263,0.9356394909460232,0.8642578135836247,0.8951953008928122,0.8968778609179169,0.0039120713594593
