hemi,roi,c1,c2,diff,t,dof,p
r,SI-STS,com-ind,ind,0.2413072057970984,3.652858058747385,8,0.003233797488970338
r,SI-STS,com-joint,joint,0.1621989431012196,1.7642731170175086,8,0.0578456820666331
r,SI-STS,joint,ind,0.058355680950749625,0.71187721413326,8,0.2483861868399177
r,SI-STS,interact,noninteract,0.2952567010054496,3.13544631353396,8,0.006950234990470088
r,SI-STS,belief,photo,0.2958899020740954,4.795608618961537,7,0.0009881426069244129
r,TPJ,face-first,face-noncom,0.1233932473088789,1.6109302893013837,7,0.07561506691570687
r,TPJ,face-third,face-noncom,0.14492107356175682,3.4894915264240733,7,0.005067803148852228
r,TPJ,com-ind,ind,0.12223106938186999,1.4411439160191049,7,0.09636960364835072
r,TPJ,com-joint,joint,0.0845310707974864,0.772393541854711,7,0.23257775687946503
r,TPJ,joint,ind,-0.051958978531190365,-0.529488072783086,7,0.6935810840101013
r,TPJ,interact,noninteract,0.14141578974681052,1.8868530400653434,7,0.05057106527804823
r,TPJ,belief,photo,0.5708611523689177,9.00306031315329,7,2.1281392243675808e-05
r,fSTS,face-first,face-noncom,0.3148579664472923,5.766272500343217,8,0.00021053740635599378
r,fSTS,face-third,face-noncom,0.3141754068299507,5.1722108793540436,8,0.0004254146538695654
r,fSTS,com-ind,ind,0.23362667369183635,3.5960768900369895,8,0.0035111001516272946
r,fSTS,com-joint,joint,0.21651279608673915,3.8653807666769695,8,0.0023862167059054327
r,fSTS,joint,ind,0.06594771410424695,1.2419520258928793,8,0.124713967968051
r,fSTS,interact,noninteract,0.18294593136468487,4.256021874996464,8,0.0013881731338809358
r,fSTS,belief,photo,0.19967692961025368,3.7552278579296843,7,0.0035596142912630033
