hemi,roi,c1,c2,diff,t,dof,p
r,TPJ,interact,noninteract,0.21986276344729644,4.342577528913161,16,0.0002519692891424574
r,TPJ,belief,photo,0.5865004175520689,10.271488876380008,16,9.44900864393458e-09
r,com-STS,face-first,face-noncom,0.43190468367368895,9.55871116506257,19,5.416890350324432e-09
r,com-STS,face-third,face-noncom,0.4086907165598072,9.26161728267351,19,8.920773433975486e-09
r,com-STS,com-ind,ind,0.18657016345942082,6.063233173759574,19,3.926667557333189e-06
r,com-STS,com-joint,joint,0.17008479478009322,5.140713130150763,19,2.9058532796046592e-05
r,com-STS,interact,noninteract,0.22084698156480914,7.543917750980059,19,1.9814532119537107e-07
r,com-STS,belief,photo,0.20313665536858652,7.332800569998993,16,8.419975332493212e-07
r,comind-STS,face-first,face-noncom,0.2715792986047162,5.882005485711147,19,5.772510794437656e-06
r,comind-STS,face-third,face-noncom,0.2697693054144917,5.2200005966557,19,2.437630988310743e-05
r,comind-STS,com-ind,ind,0.20371586759725221,5.432862888721149,19,1.525774902844555e-05
r,comind-STS,com-joint,joint,0.09419689173040585,1.9105161520608223,19,0.03563851004518931
r,comind-STS,interact,noninteract,0.24861663695875635,6.650447510492279,19,1.1598696175673462e-06
r,comind-STS,belief,photo,0.2524628866807073,8.988139843287833,16,5.930275593236149e-08
r,comphy-STS,face-first,face-noncom,0.225261118210022,5.68491435089731,19,8.817360696116757e-06
r,comphy-STS,face-third,face-noncom,0.21846006517461153,5.970715166666203,19,4.777825421706712e-06
r,comphy-STS,com-ind,ind,0.13478687328683214,4.166406043693246,19,0.00026198994827621695
r,comphy-STS,com-joint,joint,0.1370773713120658,3.4903325095889053,19,0.0012242351594686017
r,comphy-STS,interact,noninteract,0.1939714516020537,5.951904908128085,19,4.972913453515881e-06
r,comphy-STS,belief,photo,0.28008360411668853,6.241403715627421,16,5.8915903488794275e-06
r,dyadcom-STS,face-first,face-noncom,0.29166600399305914,6.8969542495618725,19,7.04695918365238e-07
r,dyadcom-STS,face-third,face-noncom,0.29830691370207263,7.138706059817056,19,4.357386374641548e-07
r,dyadcom-STS,com-ind,ind,0.19144793505394098,5.102867355393326,19,3.160746299976069e-05
r,dyadcom-STS,com-joint,joint,0.15815596630721396,3.9636286053645597,19,0.000416284575069409
r,dyadcom-STS,interact,noninteract,0.25366284080065227,7.522724045604319,19,2.0636954816655732e-07
r,dyadcom-STS,belief,photo,0.2942136176541574,7.277130085114389,16,9.262144569458287e-07
r,fSTS,face-first,face-noncom,0.29392273129841034,6.524884099393095,19,1.4996855148530568e-06
r,fSTS,face-third,face-noncom,0.33742791165568475,6.054954898049206,19,3.996033186842254e-06
r,fSTS,com-ind,ind,0.19749166816113067,5.114853250978329,19,3.077644731596899e-05
r,fSTS,com-joint,joint,0.18542298618909112,5.9287202037015385,19,5.224681171257366e-06
r,fSTS,interact,noninteract,0.2224158135688316,7.372534396400089,19,2.7577776932437185e-07
r,fSTS,belief,photo,0.21418647079626296,6.151867680190661,16,6.961221411721818e-06
r,facecom-STS,face-first,face-noncom,0.4324247858343546,8.82770450178855,19,1.8843340208097702e-08
r,facecom-STS,face-third,face-noncom,0.39993781344783497,8.146498012363807,19,6.393256442111818e-08
r,facecom-STS,com-ind,ind,0.15782115562377266,4.885958362289405,19,5.130640061375399e-05
r,facecom-STS,com-joint,joint,0.15871192542171927,4.628075034241999,19,9.17168592400304e-05
r,facecom-STS,interact,noninteract,0.1832494653173934,6.220727638392826,19,2.818788536923019e-06
r,facecom-STS,belief,photo,0.1937457113144952,6.791635752140164,16,2.164951559370142e-06
r,phy-STS,face-first,face-noncom,0.16327277212876606,3.9231548786069665,19,0.00045660612106339767
r,phy-STS,face-third,face-noncom,0.13639976717510421,2.833699132389636,19,0.00530695574030092
r,phy-STS,com-ind,ind,0.17705042015466008,4.151363587290663,19,0.0002711405185908768
r,phy-STS,com-joint,joint,-0.061640603326669555,-1.2764367607686735,19,0.8914084014849104
r,phy-STS,interact,noninteract,0.18488159581605984,4.7714587400296855,19,6.636188986525181e-05
r,phy-STS,belief,photo,0.15212128554938897,5.746970845762331,16,1.5004411827926422e-05
