hemi,roi,trial_type,run,response,subject_label
r,EVC,interact,1.5,1.941741203510992,sub-02
r,EVC,noninteract,1.5,2.1858117981675327,sub-02
r,EVC,object,4.0,4.462225585331811,sub-02
r,EVC,phy,4.0,4.333143284797545,sub-02
r,FFA,body,4.0,0.5182308868601727,sub-02
r,FFA,com_ind,4.0,1.7119332180443148,sub-02
r,FFA,com_phy,4.0,1.680094565720886,sub-02
r,FFA,face_first,4.0,1.921295614233472,sub-02
r,FFA,face_noncom,4.0,1.6959058092582795,sub-02
r,FFA,face_third,4.0,2.0536283780861058,sub-02
r,FFA,ind,4.0,1.5516824539930292,sub-02
r,FFA,interact,1.5,0.4027738868338608,sub-02
r,FFA,noninteract,1.5,0.2856723495446969,sub-02
r,FFA,object,4.0,0.3328510532148069,sub-02
r,FFA,phy,4.0,1.423325107065743,sub-02
r,MT,body,4.0,3.626038051196412,sub-02
r,MT,com_ind,4.0,3.534548727129911,sub-02
r,MT,com_phy,4.0,4.030086609874496,sub-02
r,MT,face_first,4.0,3.218557430878825,sub-02
r,MT,face_noncom,4.0,3.4581051664973645,sub-02
r,MT,face_third,4.0,3.51472444078679,sub-02
r,MT,ind,4.0,3.059650209432137,sub-02
r,MT,interact,1.5,2.87623390051729,sub-02
r,MT,noninteract,1.5,2.968753884121069,sub-02
r,MT,object,4.0,3.118605339515516,sub-02
r,MT,phy,4.0,3.9882651867791696,sub-02
r,SI-STS,body,1.5,0.6742330008752719,sub-02
r,SI-STS,com_ind,1.5,1.0080436023200168,sub-02
r,SI-STS,com_phy,1.5,1.1066148520857049,sub-02
r,SI-STS,face_first,1.5,1.0677395550164213,sub-02
r,SI-STS,face_noncom,1.5,0.8836085107799396,sub-02
r,SI-STS,face_third,1.5,1.4184426069240936,sub-02
r,SI-STS,ind,1.5,0.8362919998663212,sub-02
r,SI-STS,interact,1.5,0.8337359105856829,sub-02
r,SI-STS,noninteract,1.5,0.3292350076707906,sub-02
r,SI-STS,object,1.5,0.5710719247071436,sub-02
r,SI-STS,phy,1.5,0.7446738878199994,sub-02
r,fSTS,body,4.0,0.4764533379368212,sub-02
r,fSTS,com_ind,4.0,0.7054571001768645,sub-02
r,fSTS,com_phy,4.0,0.7697886667164893,sub-02
r,fSTS,face_first,4.0,1.0430879252438592,sub-02
r,fSTS,face_noncom,4.0,0.5345788154430234,sub-02
r,fSTS,face_third,4.0,1.2419157390511513,sub-02
r,fSTS,ind,4.0,0.5831405781212818,sub-02
r,fSTS,interact,1.5,0.4417009372305505,sub-02
r,fSTS,noninteract,1.5,0.1885927301461636,sub-02
r,fSTS,object,4.0,0.2443846966692163,sub-02
r,fSTS,phy,4.0,0.6719518551320277,sub-02
l,EBA,belief,0.5,-0.0845602623362514,sub-03
l,EBA,body,4.0,0.3976251410432641,sub-03
l,EBA,com_ind,4.0,1.0090792775131514,sub-03
l,EBA,com_phy,4.0,1.0828226563324514,sub-03
l,EBA,face_first,4.0,0.5480331682936532,sub-03
l,EBA,face_noncom,4.0,0.3105906146991569,sub-03
l,EBA,face_third,4.0,0.6281077911149955,sub-03
l,EBA,ind,4.0,0.4529108163503024,sub-03
l,EBA,interact,1.5,0.8562661238602395,sub-03
l,EBA,noninteract,1.5,0.8193179030013515,sub-03
l,EBA,object,4.0,0.2459999961166555,sub-03
l,EBA,photo,0.5,-0.1245301926145142,sub-03
l,EBA,phy,4.0,0.7291101338456453,sub-03
l,EVC,belief,0.5,0.6487357666408489,sub-03
l,EVC,body,4.0,1.9721871302990328,sub-03
l,EVC,com_ind,4.0,2.8686585028977967,sub-03
l,EVC,com_phy,4.0,2.656828770984108,sub-03
l,EVC,face_first,4.0,2.504823649265276,sub-03
l,EVC,face_noncom,4.0,2.004414106150323,sub-03
l,EVC,face_third,4.0,2.421316536819369,sub-03
l,EVC,ind,4.0,2.5943007470911223,sub-03
l,EVC,interact,1.5,1.0188034511968702,sub-03
l,EVC,noninteract,1.5,1.2098479874615138,sub-03
l,EVC,object,4.0,2.381039622109835,sub-03
l,EVC,photo,0.5,0.6222928360298807,sub-03
l,EVC,phy,4.0,2.262759681761405,sub-03
l,FFA,belief,0.5,0.7243250324690832,sub-03
l,FFA,body,4.0,0.1222681263050054,sub-03
l,FFA,com_ind,4.0,0.5943736524650058,sub-03
l,FFA,com_phy,4.0,0.5325188871238248,sub-03
l,FFA,face_first,4.0,0.6752154187937842,sub-03
l,FFA,face_noncom,4.0,0.1476231994016885,sub-03
l,FFA,face_third,4.0,0.5042039650279291,sub-03
l,FFA,ind,4.0,0.2975228773559218,sub-03
l,FFA,interact,1.5,0.3628008950193949,sub-03
l,FFA,noninteract,1.5,0.3718830296158063,sub-03
l,FFA,object,4.0,0.3503288615121183,sub-03
l,FFA,photo,0.5,0.7004882264456257,sub-03
l,FFA,phy,4.0,0.3140977127743008,sub-03
l,MT,belief,0.5,0.944710342335612,sub-03
l,MT,body,4.0,1.841346982425564,sub-03
l,MT,com_ind,4.0,2.180601655893775,sub-03
l,MT,com_phy,4.0,2.120041590358392,sub-03
l,MT,face_first,4.0,1.852111234001588,sub-03
l,MT,face_noncom,4.0,1.350445125812314,sub-03
l,MT,face_third,4.0,1.8381543629011,sub-03
l,MT,ind,4.0,1.6193076307231924,sub-03
l,MT,interact,1.5,1.758580704327356,sub-03
l,MT,noninteract,1.5,1.91217643949724,sub-03
l,MT,object,4.0,2.2471144978310256,sub-03
l,MT,photo,0.5,1.041778647056799,sub-03
l,MT,phy,4.0,2.055041977377368,sub-03
l,SI-STS,belief,0.5,0.3048753868288933,sub-03
l,SI-STS,body,1.5,-0.3764893520551612,sub-03
l,SI-STS,com_ind,1.5,0.5986719503076953,sub-03
l,SI-STS,com_phy,1.5,0.4284407508057116,sub-03
l,SI-STS,face_first,1.5,0.2136823385366343,sub-03
