subject,roi,hemi,n_voxels,pair,cond1,cond2,r_w1_reliability,r_w2_reliability,r_b_between,within_decoding_index
9,fSTS,r,73,dyad,com_ind,ind,0.9725149072333604,0.9562823004819618,0.919330511230725,0.0450680926269361
9,fSTS,r,73,face,face_first,face_noncom,0.9712816988683242,0.949542895396623,0.6614441657361557,0.2989681313963178
9,FFA,r,107,dyad,com_ind,ind,0.6519572611317719,0.5539641077144094,0.5940316669279723,0.0089290174951183
9,FFA,r,107,face,face_first,face_noncom,0.6551841788828254,0.8025784301557702,0.6532312733630454,0.0756500311562524
9,EBA,r,142,dyad,com_ind,ind,0.9455756480455552,0.8066350617015027,0.831816619919577,0.0442887349539519
9,EBA,r,142,face,face_first,face_noncom,0.9457382630279856,0.9734552327100984,0.871102589158929,0.088494158710113
9,EVC,r,263,dyad,com_ind,ind,0.9575521836590832,0.9812842461643604,0.9646364711237624,0.0047817437879591
9,EVC,r,263,face,face_first,face_noncom,0.9220269129030576,0.9717518346986116,0.9189691623129358,0.0279202114878988
9,MT,r,165,dyad,com_ind,ind,0.9180196251607278,0.6939272791044266,0.854147606169541,-0.0481741540369637
9,MT,r,165,face,face_first,face_noncom,0.9412203253513264,0.9706221394673016,0.8379109866324377,0.1180102457768763
11,SI-STS,l,203,dyad,com_ind,ind,0.8735240792103794,0.8856488068393514,0.9166189604339264,-0.0370325174090611
11,SI-STS,l,203,face,face_first,face_noncom,0.9096294377339454,0.9050660190911152,0.8022913260589108,0.1050564023536193
11,TPJ,l,288,dyad,com_ind,ind,0.907658145112573,0.7526102238572279,0.776737184414893,0.0533970000700073
11,TPJ,l,288,face,face_first,face_noncom,0.8914789023961063,0.821092718637894,0.7757380288061801,0.08054778171082
11,fSTS,l,16,dyad,com_ind,ind,0.8626453804857448,0.3043840637848847,0.4501184764168878,0.1333962457184269
11,fSTS,l,16,face,face_first,face_noncom,0.9444358146210824,0.9232680803187264,0.5603233391397894,0.3735286083301149
11,FFA,l,106,dyad,com_ind,ind,0.8512673042110843,0.854181432100996,0.6988469548845495,0.1538774132714906
11,FFA,l,106,face,face_first,face_noncom,0.8988314742309345,0.9113921262077772,0.8714562512289465,0.0336555489904092
11,EBA,l,93,dyad,com_ind,ind,0.9784113970668322,0.9317921247357548,0.9560309308263076,-0.0009291699250142
11,EBA,l,93,face,face_first,face_noncom,0.9856191164384784,0.9771572715065588,0.8858472808777842,0.0955409130947344
11,EVC,l,249,dyad,com_ind,ind,0.9691283642851072,0.9224240176009026,0.9691179332560008,-0.0233417423129957
11,EVC,l,249,face,face_first,face_noncom,0.9743177215583864,0.9115930551393304,0.9388326167774088,0.0041227715714498
11,MT,l,166,dyad,com_ind,ind,0.9615211732243818,0.9418360036012068,0.9454046487430536,0.0062739396697406
11,MT,l,166,face,face_first,face_noncom,0.8728137177223712,0.9660576369292212,0.8790518776656726,0.0403837996601236
